ip, mac, vendor, user, description, verified
192.168.2.1,18:90:D8:DC:31:20,Sagemcom Broadband SAS,N/A,N/A,False
192.168.2.117,B0:EB:57:8D:66:35,Huawei Technologies,N/A,N/A,False
192.168.2.121,30:FD:38:6C:55:DE,Google,N/A,N/A,False
192.168.2.122,64:16:66:BC:6D:E7,Nest Labs,N/A,N/A,False
192.168.2.19,7C:C7:09:33:4E:B2,Shenzhen Rf-link Technology,N/A,N/A,False
192.168.2.22,98:01:A7:CD:D8:CF,Apple,N/A,N/A,False
192.168.2.28,00:1A:79:37:2C:16,Telecomunication Technologies,N/A,N/A,False
192.168.2.29,54:88:0E:0D:31:F9,Samsung Electro-mechanics(thailand),N/A,N/A,False
192.168.2.31,48:D6:D5:E0:0C:07,Google,N/A,N/A,False
192.168.2.44,48:D6:D5:4A:7D:56,Google,N/A,N/A,False
192.168.2.93,C0:9A:D0:40:9A:C4,Apple,N/A,N/A,False
192.168.2.110,60:AB:67:90:DB:AB,Xiaomi Communications,N/A,N/A,False
192.168.2.13,24:92:0E:17:87:5C,Samsung Electronics,N/A,N/A,False
